Country,Region,GDP,Life expectancy,Population
"Hong Kong SAR, China",East Asia & Pacific,42351.0246,84.27804878,7305700
Japan,East Asia & Pacific,34474.13736,83.84365854,127141000
"Macao SAR, China",East Asia & Pacific,75573.48071,83.59490244,600942
Italy,Europe & Central Asia,30049.14755,83.4902439,60730582
Spain,Europe & Central Asia,25683.84565,83.3804878,46447697
Switzerland,Europe & Central Asia,80989.84024,83.19756098,8282396
Iceland,Europe & Central Asia,50734.4436,82.86097561,330815
France,Europe & Central Asia,36526.77011,82.67073171,66624068
Singapore,East Asia & Pacific,53629.73746,82.59512195,5535002
Sweden,Europe & Central Asia,50585.25847,82.55121951,9799186
Australia,East Asia & Pacific,56554.03876,82.45121951,23789338
Luxembourg,Europe & Central Asia,101909.8223,82.22926829,569604
"Korea, Rep.",East Asia & Pacific,27105.07623,82.15585366,51014947
Canada,North America,43315.70044,82.12902439,35848610
Norway,Europe & Central Asia,74505.24654,82.1,5188607
Liechtenstein,Europe & Central Asia,,82.07317073,37403
Israel,Middle East & North Africa,35729.37253,82.05121951,8380100
Malta,Middle East & North Africa,23819.4636,81.94634146,431874
Austria,Europe & Central Asia,43665.00947,81.84390244,8633169
Netherlands,Europe & Central Asia,44292.88473,81.70731707,16939923
Faroe Islands,Europe & Central Asia,,81.63414634,48965
United Kingdom,Europe & Central Asia,43929.69081,81.60487805,65128861
Greece,Europe & Central Asia,18007.78991,81.58780488,10820883
Portugal,Europe & Central Asia,19220.00681,81.52195122,10358076
Ireland,Europe & Central Asia,60664.1044,81.50243902,4676835
New Zealand,East Asia & Pacific,38201.89037,81.45682927,4595700
Finland,Europe & Central Asia,42405.39744,81.38536585,5479531
Belgium,Europe & Central Asia,40356.875,81.28780488,11274196
Denmark,Europe & Central Asia,53014.64416,81.1,5683483
Germany,Europe & Central Asia,41176.88158,81.0902439,81686611
Slovenia,Europe & Central Asia,20729.86383,81.07804878,2063531
Bermuda,North America,,81.01219512,65235
Channel Islands,Europe & Central Asia,,80.88526829,163758
Cyprus,Europe & Central Asia,23075.1127,80.29104878,1160985
Virgin Islands (U.S.),Latin America & Caribbean,36350.82163,79.87317073,103574
Costa Rica,Latin America & Caribbean,11406.36273,79.60890244,4807852
Puerto Rico,Latin America & Caribbean,,79.59612195,3473181
Cuba,Latin America & Caribbean,7602.261218,79.54370732,11461432
Lebanon,Middle East & North Africa,8046.632851,79.4982439,5851479
Czech Republic,Europe & Central Asia,17556.9243,79.47317073,10546059
St. Martin (French part),Latin America & Caribbean,,79.47073171,31754
Guam,East Asia & Pacific,35439.47045,79.37763415,161797
Chile,Latin America & Caribbean,13653.2264,79.16068293,17762681
United States,North America,56207.03675,78.74146341,320896618
Qatar,Middle East & North Africa,66346.52267,78.46270732,2481539
Poland,Europe & Central Asia,12565.9876,78.20487805,37986412
Albania,Europe & Central Asia,3954.022783,78.20314634,2880703
Panama,Latin America & Caribbean,13134.04367,77.81743902,3969249
New Caledonia,East Asia & Pacific,,77.77317073,273000
